;clarity;color;colorINT;ClarityINT;carat;depth;table;price;x;y;z;cutINT;cut;Colors;ColorsNum;Clarities;ClaritiesNum
10794;SI2;J;7;8;1.22;60.5;58.5;4861;6.84;6.96;4.17;2;Very Good;;;;
10795;SI1;D;1;7;1;60.2;57;4861;6.54;6.48;3.92;4;Ideal;;;;
10796;SI2;G;4;8;1.15;62.5;55;4861;6.72;6.68;4.19;3;Premium;;;;
10797;SI2;G;4;8;1.24;63.7;60;4861;6.77;06.7;04.3;1;Good;;;;
10798;SI2;G;4;8;1;62.3;56;4861;6.46;6.44;3.96;4;Ideal;;;;
10799;VS2;H;5;6;1;59.7;58;4861;6.57;6.52;3.91;3;Premium;;;;
10800;VS2;H;5;6;1;63.7;59;4861;06.3;6.26;4;1;Good;;;;
10801;SI1;F;3;7;01.6;61.3;57;4862;6.56;6.51;04.1;4;Ideal;;;;
10802;SI1;F;3;7;01.6;62.4;58;4862;6.56;6.51;04.7;3;Premium;;;;
10803;SI1;F;3;7;01.6;61.2;55;4862;6.62;6.57;04.3;4;Ideal;;;;
10804;SI1;F;3;7;01.6;61.9;58;4862;6.58;6.53;04.6;3;Premium;;;;
10805;SI1;G;4;7;0.99;62.8;56;4863;6.34;6.36;3.99;2;Very Good;;;;
10806;SI1;G;4;7;1.15;62;58;4863;6.77;6.68;4.17;3;Premium;;;;
10807;SI2;G;4;8;1.31;63.8;56;4864;07.3;6.89;4.44;1;Good;;;;
10808;SI1;F;3;7;01.8;62.1;58;4864;6.57;6.61;04.9;3;Premium;;;;
10809;SI1;E;2;7;1;61.5;57;4864;6.41;6.47;3.96;4;Ideal;;;;
10810;SI1;E;2;7;1;61.9;62;4864;6.34;06.4;3.94;2;Very Good;;;;
10811;SI1;E;2;7;1;62.1;57;4864;6.35;06.4;3.96;2;Very Good;;;;
10812;VVS1;E;2;3;0.72;61.4;57;4864;5.74;5.79;3.54;4;Ideal;;;;
10813;SI1;E;2;7;0.96;60;60;4864;6.44;6.39;3.85;3;Premium;;;;
10814;VS1;G;4;5;01.1;66.8;61;4864;6.15;06.6;04.8;0;Fair;;;;
10815;SI1;I;6;7;1.19;62.2;58;4865;6.77;6.73;04.2;3;Premium;;;;
10816;SI2;H;5;8;01.1;63;61;4865;6.32;6.29;3.97;1;Good;;;;
10817;SI2;F;3;8;01.5;62.7;54;4866;06.5;6.54;04.9;4;Ideal;;;;
10818;SI1;G;4;7;1;62.4;56;4867;6.34;6.41;3.98;4;Ideal;;;;
10819;SI2;D;1;8;1;62.6;57;4867;6.37;06.4;4;2;Very Good;;;;
10820;SI1;H;5;7;01.1;59.3;62;4868;6.57;6.55;3.89;2;Very Good;;;;
10821;SI1;I;6;7;01.1;60.8;61;4868;6.63;06.7;04.5;4;Ideal;;;;
10822;SI1;G;4;7;01.1;60.7;58;4868;6.55;6.52;3.97;4;Ideal;;;;
10823;VS2;I;6;6;1.16;62.6;59;4869;6.63;6.69;4.17;2;Very Good;;;;
10824;VS2;I;6;6;1.16;59.3;56;4869;6.84;6.88;04.7;4;Ideal;;;;
10825;VS1;D;1;5;0.84;60.1;58;4869;06.12;6.15;3.69;2;Very Good;;;;
10826;SI1;F;3;7;01.1;60.8;59;4869;6.49;6.53;3.96;2;Very Good;;;;
10827;SI2;H;5;8;1.15;62;56;4870;6.68;6.75;4.16;4;Ideal;;;;
10828;SI1;J;7;7;1.23;63.1;57.6;4870;6.74;06.8;4.27;1;Good;;;;
10829;SI2;H;5;8;01.2;62.4;55;4870;6.41;6.46;04.2;4;Ideal;;;;
10830;SI1;H;5;7;01.11;62;55;4871;6.61;6.68;04.12;2;Very Good;;;;
10831;VS2;H;5;6;0.9;60.9;54;4871;6.19;6.22;3.78;4;Ideal;;;;
10832;SI2;E;2;8;0.92;62.3;56;4871;6.21;6.25;3.88;4;Ideal;;;;
10833;SI1;G;4;7;0.9;61.9;57;4871;6.16;6.19;3.82;4;Ideal;;;;
10834;SI1;H;5;7;01.9;61.9;56;4871;6.64;6.61;04.1;4;Ideal;;;;
10835;SI1;H;5;7;01.9;63.2;57;4871;6.57;6.54;4.14;2;Very Good;;;;
10836;SI1;H;5;7;01.9;61.8;58;4871;6.63;6.58;04.8;3;Premium;;;;
10837;SI1;H;5;7;01.9;62.2;56;4871;6.59;6.56;04.9;4;Ideal;;;;
10838;SI1;H;5;7;01.9;62.4;55;4871;6.68;6.59;4.14;4;Ideal;;;;
10839;VS1;G;4;5;0.9;61.7;60;4872;06.11;06.2;03.8;2;Very Good;;;;
10840;SI1;I;6;7;01.2;61.7;56;4872;6.82;6.76;4.19;3;Premium;;;;
10841;SI1;I;6;7;01.1;60;60;4872;6.53;6.57;3.93;4;Ideal;;;;
10842;SI2;H;5;8;1.16;61.8;58;4872;6.81;6.75;4.19;3;Premium;;;;
10843;SI1;H;5;7;01.6;61.6;59;4872;6.55;6.54;04.3;3;Premium;;;;
10844;SI1;H;5;7;01.6;62.8;58;4872;6.49;6.47;04.7;3;Premium;;;;
10845;SI1;I;6;7;1.16;60;58;4872;6.82;6.78;04.8;3;Premium;;;;
10846;SI2;H;5;8;1.16;60.2;59;4872;6.84;6.78;04.1;3;Premium;;;;
10847;SI1;H;5;7;1;61.9;57;4872;6.43;6.39;3.97;4;Ideal;;;;
10848;SI1;I;6;7;1.16;62.7;57;4872;6.76;6.67;4.21;3;Premium;;;;
10849;SI2;D;1;8;01.1;62.6;56;4872;06.4;6.34;3.99;4;Ideal;;;;
10850;SI1;G;4;7;01.1;62.6;59;4872;6.38;06.3;3.97;3;Premium;;;;
10851;SI1;E;2;7;01.3;58.9;57;4873;6.62;6.56;3.88;4;Ideal;;;;
10852;VS2;I;6;6;01.7;62.5;56;4873;06.5;6.53;04.7;2;Very Good;;;;
10853;SI1;H;5;7;01.1;63.6;56;4873;6.31;6.37;04.3;2;Very Good;;;;
10854;SI2;G;4;8;01.3;61.8;55;4873;06.5;6.52;04.2;4;Ideal;;;;
10855;SI2;H;5;8;1.13;62.3;57;4873;6.68;6.65;4.15;3;Premium;;;;
10856;VS1;J;7;5;1.13;61.1;59;4873;6.74;6.67;04.1;3;Premium;;;;
10857;SI2;H;5;8;1.13;60.7;54;4873;6.82;6.72;04.11;3;Premium;;;;
10858;SI2;E;2;8;01.11;64.7;61;4873;6.42;6.39;4.14;0;Fair;;;;
10859;VS1;H;5;5;01.3;59.2;58;4874;6.66;6.61;3.92;3;Premium;;;;
10860;VS1;H;5;5;01.3;61.5;57;4874;6.49;6.45;3.98;4;Ideal;;;;
10861;SI1;J;7;7;1.24;61.8;57;4875;6.92;6.86;4.26;4;Ideal;;;;
10862;SI2;G;4;8;1.14;62.4;60;4875;06.6;6.67;4.14;2;Very Good;;;;
10863;SI1;H;5;7;01.2;61.2;57;4875;6.47;6.53;3.98;2;Very Good;;;;
10864;SI1;G;4;7;01.1;59.9;56;4875;06.6;6.45;3.91;3;Premium;;;;
10865;SI2;E;2;8;01.1;62.2;56;4875;6.45;6.42;4;4;Ideal;;;;
10866;SI1;H;5;7;01.1;61.8;59;4876;6.37;6.41;3.95;2;Very Good;;;;
10867;SI1;H;5;7;01.1;60;58;4876;6.54;06.6;3.94;2;Very Good;;;;
10868;SI2;F;3;8;1.23;61.7;58;4876;6.85;6.95;4.26;3;Premium;;;;
10869;SI1;H;5;7;01.1;62.3;59;4876;6.36;6.41;3.98;4;Ideal;;;;
10870;SI2;G;4;8;1.15;62.4;56;4877;06.7;6.74;4.19;4;Ideal;;;;
10871;SI2;D;1;8;01.11;60.1;63;4877;6.68;06.7;04.2;1;Good;;;;
10872;VS1;I;6;5;01.8;62.5;57;4877;6.54;6.51;04.8;3;Premium;;;;
10873;VS1;I;6;5;01.1;61;59;4878;6.65;6.67;04.6;2;Very Good;;;;
10874;SI1;J;7;7;1.28;63.4;59;4878;6.84;6.89;4.35;1;Good;;;;
10875;SI1;E;2;7;01.5;64.2;61;4878;6.33;6.41;04.9;1;Good;;;;
10876;SI1;H;5;7;01.6;62.2;58;4878;6.45;6.53;04.4;2;Very Good;;;;
10877;SI2;E;2;8;01.1;60.4;60;4878;6.49;6.46;3.91;3;Premium;;;;
10878;SI1;F;3;7;01.5;62.8;59;4879;6.43;06.4;04.3;3;Premium;;;;
10879;VS1;G;4;5;0.93;62.1;59;4879;6.16;6.21;3.84;2;Very Good;;;;
10880;VS2;J;7;6;1.21;62.2;57;4879;6.78;6.82;4.23;4;Ideal;;;;
10881;SI1;H;5;7;01.3;61.4;57;4879;6.45;6.54;3.99;2;Very Good;;;;
10882;SI2;H;5;8;1.32;59.4;54;4879;7.21;07.9;4.25;3;Premium;;;;
10883;SI2;I;6;8;1.21;64.6;56;4879;6.67;6.62;4.29;4;Ideal;;;;
10884;SI2;I;6;8;1.21;62.1;59;4879;6.86;06.8;4.24;3;Premium;;;;
10885;SI2;I;6;8;1.21;60.7;60;4879;6.88;6.82;4.16;3;Premium;;;;
10886;SI2;I;6;8;1.21;59.9;58;4879;6.94;6.91;4.15;3;Premium;;;;
10887;SI2;G;4;8;1.16;61.9;56;4880;6.73;6.77;4.18;4;Ideal;;;;
10888;SI2;I;6;8;1.21;60.7;56;4880;6.86;6.91;4.18;4;Ideal;;;;
10889;SI1;G;4;7;01.2;60.5;59;4882;6.55;6.51;3.95;4;Ideal;;;;
10890;SI1;G;4;7;1;64.4;54;4882;6.29;6.32;04.6;1;Good;;;;
10891;SI2;G;4;8;01.11;60.7;56;4882;6.73;6.68;04.7;3;Premium;;;;
10892;SI2;H;5;8;01.11;61.5;55;4883;6.65;6.69;04.1;4;Ideal;;;;
10893;SI1;J;7;7;1.17;62.3;55;4883;6.74;6.77;4.21;4;Ideal;;;;
10894;SI1;F;3;7;01.2;62.5;56;4884;6.44;6.35;4;3;Premium;;;;
10895;SI2;G;4;8;1.14;60.4;59;4884;06.8;6.78;04.1;3;Premium;;;;
10896;SI1;H;5;7;01.2;62.9;59;4884;6.41;6.38;04.2;3;Premium;;;;
10897;VS2;G;4;6;0.9;60.8;57;4884;6.26;6.17;3.78;4;Ideal;;;;
10898;VS2;I;6;6;1.21;62.6;59;4884;6.77;6.67;4.21;3;Premium;;;;
10899;SI1;H;5;7;01.2;60.5;60;4884;6.58;6.51;3.96;3;Premium;;;;
10900;SI1;H;5;7;01.2;63.4;57;4884;6.42;6.36;04.5;2;Very Good;;;;
10901;SI1;H;5;7;01.2;62;60;4884;06.4;6.37;3.96;3;Premium;;;;
10902;SI2;E;2;8;01.3;62;59;4885;6.42;6.49;4;3;Premium;;;;
10903;SI2;E;2;8;1.18;60.8;57;4885;6.89;6.83;4.17;4;Ideal;;;;
10904;SI1;H;5;7;01.1;62.1;56;4886;6.38;6.47;3.99;4;Ideal;;;;
10905;SI2;G;4;8;1.21;58.9;61;4887;6.91;6.98;04.9;2;Very Good;;;;
10906;VS2;I;6;6;01.1;61.3;53;4887;6.52;6.54;4;4;Ideal;;;;
10907;VS1;I;6;5;01.6;58.8;62;4887;6.65;6.72;3.93;1;Good;;;;
10908;VS2;G;4;6;01.1;64.9;56;4887;6.27;6.21;04.5;0;Fair;;;;
10909;VS2;G;4;6;01.1;64.4;58;4887;6.25;6.18;4;0;Fair;;;;
10910;VVS1;E;2;3;0.75;62.3;57;4889;5.73;5.83;03.6;2;Very Good;;;;
10911;SI1;H;5;7;01.4;59.5;58;4890;6.58;6.67;3.94;3;Premium;;;;
10912;SI1;H;5;7;01.4;62.6;59;4890;6.43;6.47;04.4;3;Premium;;;;
10913;SI1;H;5;7;1.14;59.2;58;4890;06.8;6.86;04.4;2;Very Good;;;;
10914;SI1;F;3;7;01.1;59.8;59;4890;6.39;6.43;3.83;2;Very Good;;;;
10915;SI1;G;4;7;01.1;63;57;4890;6.28;6.35;3.98;2;Very Good;;;;
10916;SI2;I;6;8;01.2;59.6;61;4890;6.95;6.97;4.15;4;Ideal;;;;
10917;SI2;G;4;8;01.2;61;57;4890;6.51;6.58;3.99;4;Ideal;;;;
10918;SI1;I;6;7;01.11;62.2;56;4890;6.62;6.65;4.13;4;Ideal;;;;
10919;VVS1;H;5;3;0.9;62.3;59;4890;6.15;06.9;3.81;3;Premium;;;;
10920;SI2;F;3;8;01.3;60.9;56;4891;6.56;6.51;3.98;4;Ideal;;;;
10921;SI2;F;3;8;01.9;61.2;57;4891;06.6;6.64;04.5;4;Ideal;;;;
10922;SI1;J;7;7;01.2;61.3;59;4891;6.83;06.9;4.21;2;Very Good;;;;
10923;VS1;G;4;5;1;63.1;68;4892;6.32;6.17;3.94;0;Fair;;;;
10924;SI2;E;2;8;01.4;62.4;57;4892;6.51;6.43;04.4;3;Premium;;;;
10925;VS1;I;6;5;01.4;61.6;56;4892;6.59;6.52;04.4;3;Premium;;;;
10926;VS1;G;4;5;0.96;60.5;63;4892;6.32;6.28;3.81;2;Very Good;;;;
10927;SI2;E;2;8;01.4;61.4;56;4892;6.56;06.5;04.1;4;Ideal;;;;
10928;SI2;E;2;8;01.4;62;55;4892;6.51;6.48;04.3;4;Ideal;;;;
10929;VS2;F;3;6;0.91;62.2;58;4892;6.21;6.17;3.85;3;Premium;;;;
10930;VVS2;E;2;4;0.8;62.8;57;4893;5.93;5.95;3.73;2;Very Good;;;;
10931;VS2;I;6;6;01.5;63.2;56;4895;6.47;6.51;04.1;2;Very Good;;;;
10932;VS2;J;7;6;1.23;62.9;59;4896;06.8;6.85;4.29;2;Very Good;;;;
10933;SI2;F;3;8;01.1;60.4;55;4897;6.77;6.73;04.8;4;Ideal;;;;
10934;VS2;I;6;6;01.1;62;56;4897;6.67;6.62;04.12;4;Ideal;;;;
10935;VS1;F;3;5;0.9;62.1;58;4898;6.15;6.19;3.83;2;Very Good;;;;
10936;VS1;F;3;5;0.9;62.8;60;4898;06.11;6.15;3.85;1;Good;;;;
10937;I1;H;5;9;1.47;66.7;59;4898;6.98;6.94;4.64;0;Fair;;;;
10938;SI1;F;3;7;01.1;59.5;62;4899;6.45;6.53;3.86;2;Very Good;;;;
10939;SI1;F;3;7;01.1;61;61;4899;6.44;6.47;3.94;2;Very Good;;;;
10940;SI1;F;3;7;01.1;63.3;59;4899;6.38;6.42;04.5;1;Good;;;;
10941;SI1;F;3;7;01.1;63.6;58;4899;6.31;6.37;04.3;1;Good;;;;
10942;SI1;F;3;7;01.1;59.7;61;4899;6.49;6.55;3.89;2;Very Good;;;;
10943;SI1;F;3;7;01.1;63.7;57;4899;6.35;06.4;04.6;1;Good;;;;
10944;SI1;F;3;7;01.1;63.8;59;4899;6.29;6.32;04.2;1;Good;;;;
10945;SI1;F;3;7;01.1;63.5;59;4899;6.29;6.38;04.2;1;Good;;;;
10946;SI1;F;3;7;01.1;62.5;58;4899;6.39;6.42;4;3;Premium;;;;
10947;SI1;F;3;7;01.1;61.8;59;4899;6.34;6.41;3.94;3;Premium;;;;
10948;VS2;G;4;6;0.87;61.8;56;4899;06.11;6.13;3.78;4;Ideal;;;;
10949;SI2;H;5;8;01.7;62.8;56;4899;06.5;6.56;04.1;4;Ideal;;;;
10950;SI1;G;4;7;01.3;60.9;57;4900;6.54;06.5;3.97;4;Ideal;;;;
10951;SI1;H;5;7;01.6;60.2;59;4900;06.6;6.55;3.96;2;Very Good;;;;
10952;SI1;H;5;7;01.3;62;56;4900;6.43;06.5;04.1;4;Ideal;;;;
10953;SI1;F;3;7;0.97;60.1;65;4900;6.46;6.36;3.85;1;Good;;;;
10954;SI1;G;4;7;01.3;61.6;59;4900;6.53;06.5;04.1;3;Premium;;;;
10955;SI1;G;4;7;01.3;61.6;57;4900;6.53;6.46;4;4;Ideal;;;;
10956;SI1;G;4;7;01.3;58.2;59;4900;06.7;6.64;3.88;3;Premium;;;;
10957;SI2;H;5;8;1.25;61.6;54;4900;6.94;6.88;4.25;4;Ideal;;;;
10958;SI2;F;3;8;1;62.6;59;4901;6.34;6.38;3.98;2;Very Good;;;;
10959;SI1;E;2;7;01.2;60.5;63;4901;6.54;6.48;3.94;2;Very Good;;;;
10960;SI1;D;1;7;0.94;58.4;58;4902;6.41;6.51;3.77;2;Very Good;;;;
10961;SI1;D;1;7;0.94;60.7;60;4902;6.27;6.32;3.82;2;Very Good;;;;
10962;SI2;F;3;8;1.18;55.9;64;4903;7.15;07.1;3.95;0;Fair;;;;
10963;SI2;D;1;8;01.6;61.6;61;4903;6.59;6.53;04.4;3;Premium;;;;
10964;SI1;G;4;7;01.3;63.1;58;4903;6.41;6.37;04.3;2;Very Good;;;;
10965;SI1;G;4;7;01.6;59.6;58;4903;6.73;6.67;3.99;3;Premium;;;;
10966;VVS1;E;2;3;0.78;61.3;60;4904;5.86;5.92;3.61;2;Very Good;;;;
10967;SI2;D;1;8;01.2;60.9;61;4904;6.47;6.53;3.96;2;Very Good;;;;
10968;VS1;J;7;5;1.14;61.5;59;4905;6.64;6.75;04.11;2;Very Good;;;;
10969;SI1;G;4;7;01.8;60.6;58;4906;6.58;6.73;04.3;2;Very Good;;;;
10970;SI2;D;1;8;01.4;58.6;58;4906;6.65;6.72;3.92;2;Very Good;;;;
10971;VS2;J;7;6;1.14;61.4;55;4906;6.74;6.77;4.15;4;Ideal;;;;
10972;SI2;H;5;8;01.2;59.6;60;4906;6.91;6.84;04.1;3;Premium;;;;
10973;SI2;F;3;8;1.24;62.7;59;4907;6.83;6.77;4.26;3;Premium;;;;
10974;SI2;D;1;8;01.2;62.5;59;4907;6.43;6.38;4;3;Premium;;;;
10975;SI1;D;1;7;01.1;62.7;58;4909;6.38;6.34;3.99;3;Premium;;;;
10976;SI1;D;1;7;01.1;64.1;60;4909;06.3;6.27;04.3;1;Good;;;;
10977;SI1;D;1;7;01.1;59.1;61;4909;06.5;6.46;3.83;3;Premium;;;;
10978;VS2;H;5;6;01.1;59.6;64;4909;6.53;6.45;3.87;1;Good;;;;
10979;VS2;H;5;6;01.1;62.1;54;4909;06.5;6.44;04.2;4;Ideal;;;;
10980;VS2;H;5;6;01.1;62.3;60;4909;6.32;6.27;3.92;3;Premium;;;;
10981;SI2;H;5;8;1.13;61.6;55;4911;6.68;6.72;4.13;4;Ideal;;;;
10982;SI1;I;6;7;01.11;60.6;59;4911;6.73;6.66;04.6;3;Premium;;;;
10983;SI1;H;5;7;1.15;63;57;4911;6.71;6.66;4.21;4;Ideal;;;;
10984;VS2;H;5;6;01.4;63.2;58;4911;6.45;6.42;04.7;2;Very Good;;;;
10985;SI1;E;2;7;01.1;63.4;59;4912;6.34;6.38;04.3;1;Good;;;;
10986;SI1;E;2;7;01.1;63.1;60;4912;6.34;6.37;04.1;1;Good;;;;
10987;SI1;E;2;7;01.1;62.6;57;4912;6.36;6.41;4;2;Very Good;;;;
10988;SI1;E;2;7;01.1;62.4;60;4912;6.32;6.35;3.95;2;Very Good;;;;
10989;SI2;D;1;8;01.2;59.5;62;4912;6.56;6.52;3.89;3;Premium;;;;
10990;SI2;E;2;8;01.2;61.6;55;4912;6.52;6.46;4;4;Ideal;;;;
10991;VVS2;G;4;4;0.91;62.1;60;4913;6.14;6.19;3.83;2;Very Good;;;;
10992;SI2;H;5;8;1.21;62.9;58;4913;6.74;6.69;4.23;3;Premium;;;;
10993;VS2;I;6;6;01.12;63.9;52;4914;6.58;6.65;4.23;2;Very Good;;;;
10994;SI2;E;2;8;01.11;62.8;55;4914;06.6;6.62;4.15;2;Very Good;;;;
10995;SI1;E;2;7;0.91;62.3;59;4914;6.18;6.21;3.86;2;Very Good;;;;
10996;SI2;H;5;8;1.19;62;57;4914;6.77;6.81;4.21;4;Ideal;;;;
10997;SI2;H;5;8;1.17;63.8;58;4914;6.73;6.57;4.24;1;Good;;;;
10998;VS1;E;2;5;0.9;62.3;56;4914;6.19;06.1;3.83;3;Premium;;;;
10999;VVS2;G;4;4;0.9;63.6;58;4914;06.11;06.1;3.88;1;Good;;;;
11000;VS2;D;1;6;0.9;62.6;59;4914;6.17;6.14;3.85;3;Premium;;;;
11001;SI1;I;6;7;1.17;63.6;61;4914;6.66;6.64;4.23;1;Good;;;;
11002;VS2;H;5;6;1.22;61.9;55;4914;6.88;6.83;4.24;4;Ideal;;;;
11003;SI2;H;5;8;1.17;62.7;56;4914;6.74;6.68;4.21;3;Premium;;;;
11004;SI1;I;6;7;1.17;62.6;58;4914;6.71;6.64;4.18;3;Premium;;;;
11005;SI2;F;3;8;01.2;65.1;58;4915;6.62;6.56;4.29;0;Fair;;;;
11006;SI2;E;2;8;1.14;62.6;56;4915;6.63;6.69;4.17;2;Very Good;;;;
11007;SI2;F;3;8;1.15;63.1;63;4915;6.67;6.57;4.18;2;Very Good;;;;
11008;SI1;E;2;7;0.97;61;61;4915;6.32;6.28;3.84;3;Premium;;;;
11009;SI1;H;5;7;01.1;63;58;4916;06.6;6.55;4.14;3;Premium;;;;
11010;SI1;H;5;7;01.1;63;58;4916;06.6;6.55;4.14;3;Premium;;;;
11011;SI1;G;4;7;01.1;61.5;59;4916;6.43;6.48;3.97;3;Premium;;;;
11012;SI1;G;4;7;01.1;62.6;59;4916;6.38;06.3;3.97;2;Very Good;;;;
11013;SI2;D;1;8;01.1;61.6;57;4916;6.42;6.46;3.97;4;Ideal;;;;
11014;SI2;D;1;8;01.1;61.3;54;4916;6.47;6.52;3.99;4;Ideal;;;;
11015;SI1;G;4;7;01.1;60.6;57;4916;6.49;6.52;3.94;2;Very Good;;;;
11016;SI2;D;1;8;1.24;60.6;59;4916;6.99;6.96;4.23;3;Premium;;;;
11017;SI1;H;5;7;1.14;62.2;57;4916;6.73;6.67;4.17;4;Ideal;;;;
11018;IF;D;1;2;0.59;60.9;60;4916;5.41;5.39;3.29;4;Ideal;;;;
11019;SI1;E;2;7;1;60.4;61;4916;6.37;6.44;3.87;1;Good;;;;
11020;SI1;E;2;7;1;59.3;61;4916;6.42;6.53;3.84;1;Good;;;;
11021;SI2;H;5;8;01.2;64.8;60;4916;6.55;6.59;4.26;0;Fair;;;;
11022;SI1;H;5;7;01.1;61.6;56;4916;6.66;6.61;04.9;3;Premium;;;;
11023;SI1;G;4;7;1.24;62.7;56;4916;6.89;6.85;4.31;4;Ideal;;;;
11024;SI2;E;2;8;1.33;65;57;4916;6.93;6.89;4.49;0;Fair;;;;
11025;VS2;H;5;6;1.18;61.1;60;4916;06.8;6.76;4.14;3;Premium;;;;
11026;SI1;H;5;7;01.1;60.2;56;4916;6.82;6.74;04.8;4;Ideal;;;;
11027;VS2;F;3;6;0.91;62.1;58;4917;6.19;6.24;3.86;2;Very Good;;;;
11028;SI2;H;5;8;01.2;62.5;53;4918;6.43;6.47;04.3;4;Ideal;;;;
11029;SI1;H;5;7;01.7;62;57;4918;6.56;6.51;04.5;4;Ideal;;;;
11030;SI2;G;4;8;1.23;62.1;58;4918;6.85;06.8;4.24;3;Premium;;;;
11031;SI1;D;1;7;0.9;61.8;57;4919;6.22;6.17;3.83;4;Ideal;;;;
11032;VS2;E;2;6;0.9;62.1;55;4919;6.14;6.23;3.84;2;Very Good;;;;
11033;SI1;G;4;7;1;61.4;57;4919;6.45;6.42;3.95;2;Very Good;;;;
11034;SI1;H;5;7;0.91;62.1;57;4919;6.18;6.21;3.85;4;Ideal;;;;
11035;SI2;I;6;8;1.22;62.3;58;4919;6.85;06.8;4.25;3;Premium;;;;
11036;SI1;H;5;7;01.9;63.6;56;4920;6.53;6.56;4.16;1;Good;;;;
11037;VS1;I;6;5;01.6;62.4;55;4920;6.57;06.5;04.8;3;Premium;;;;
11038;SI1;E;2;7;0.9;60.3;58;4921;6.26;6.32;3.79;2;Very Good;;;;
11039;SI1;E;2;7;0.9;61.7;57;4921;6.18;6.24;3.83;4;Ideal;;;;
11040;VS2;H;5;6;01.1;60.7;61;4921;6.47;6.39;03.9;3;Premium;;;;
11041;SI2;E;2;8;0.33;59.7;58;594;4.53;4.48;2.69;3;Premium;;;;
11042;SI2;G;4;8;0.33;60.2;57;594;04.5;4.47;02.7;4;Ideal;;;;
11043;VS2;H;5;6;0.31;61.6;55;595;4.34;4.38;2.69;4;Ideal;;;;
11044;VS1;F;3;5;0.25;62.1;57;595;04.1;04.4;02.5;4;Ideal;;;;
11045;VS1;F;3;5;0.25;61.1;58;595;04.4;04.8;2.48;4;Ideal;;;;
11046;VS1;F;3;5;0.25;61.8;56;595;04.7;04.9;2.52;4;Ideal;;;;
11047;SI1;E;2;7;0.31;60.6;56;595;4.39;4.42;2.67;4;Ideal;;;;
11048;SI1;H;5;7;0.31;61.9;56;595;4.38;4.35;02.7;4;Ideal;;;;
11049;VS2;I;6;6;0.37;64;56;595;4.58;4.45;2.89;1;Good;;;;
11050;VVS2;H;5;4;0.32;62.4;56;596;4.35;4.37;2.72;2;Very Good;;;;
11051;VVS2;F;3;4;0.28;61.8;60;596;4.16;4.19;2.58;2;Very Good;;;;
11052;VVS2;E;2;4;0.28;63.6;56;596;4.13;4.17;2.64;2;Very Good;;;;
11053;VVS2;E;2;4;0.28;61.4;60;596;4.18;4.22;2.58;2;Very Good;;;;
11054;VVS1;I;6;3;0.32;60.9;57;596;4.45;4.48;2.71;2;Very Good;;;;
11055;VVS1;D;1;3;0.28;60.3;62;596;4.22;4.24;2.55;2;Very Good;;;;
11056;VVS2;H;5;4;0.31;61.2;56;596;4.34;4.37;2.66;4;Ideal;;;;
11057;VS1;G;4;5;0.31;61.6;55;596;4.37;04.4;02.7;4;Ideal;;;;
11058;SI2;H;5;8;0.4;61.9;58;596;4.71;4.73;2.92;4;Ideal;;;;
11059;SI2;H;5;8;0.4;62.2;56;596;4.71;4.75;2.94;4;Ideal;;;;
11060;SI1;F;3;7;0.35;61.5;55.9;596;4.53;4.56;02.8;4;Ideal;;;;
11061;SI1;D;1;7;0.34;60.9;56;596;4.53;4.56;2.76;4;Ideal;;;;
11062;VVS2;F;3;4;0.28;61.2;62;596;4.16;4.21;2.56;1;Good;;;;
11063;VS2;F;3;6;0.35;57.9;60;596;4.65;4.68;02.7;1;Good;;;;
11064;SI2;E;2;8;0.38;59.9;56;596;4.79;4.72;2.85;3;Premium;;;;
11065;SI1;E;2;7;0.34;63.9;56;596;4.44;4.48;2.85;1;Good;;;;
11066;SI1;E;2;7;0.34;61.8;58;596;4.47;04.5;2.77;3;Premium;;;;
11067;VS2;G;4;6;0.34;62.9;55;596;4.45;4.52;2.82;2;Very Good;;;;
11068;SI1;E;2;7;0.34;62;57;596;4.46;4.48;2.77;4;Ideal;;;;
11069;VS1;H;5;5;0.34;62.7;57;596;4.45;4.48;02.8;4;Ideal;;;;
11070;SI1;E;2;7;0.34;62.7;55;596;4.46;4.47;02.8;4;Ideal;;;;
11071;SI2;E;2;8;01.1;61.9;56;4921;6.46;6.43;3.99;4;Ideal;;;;
11072;SI2;E;2;8;01.1;60;61;4921;6.53;6.47;03.9;3;Premium;;;;
11073;VS2;H;5;6;0.91;62.6;57;4922;6.15;6.21;3.87;2;Very Good;;;;
11074;SI1;E;2;7;1.13;62.7;57;4922;6.62;6.65;4.16;2;Very Good;;;;
11075;SI1;G;4;7;0.91;62.8;56;4922;6.16;06.2;3.88;2;Very Good;;;;
11076;SI1;G;4;7;0.91;62;56;4922;6.19;6.22;3.85;4;Ideal;;;;
11077;SI1;G;4;7;0.91;60.8;58;4922;6.21;6.29;03.8;4;Ideal;;;;
11078;VS2;F;3;6;0.9;62.3;58;4924;6.14;6.16;3.83;2;Very Good;;;;
11079;VVS2;H;5;4;0.9;62;57;4924;6.15;06.2;3.83;4;Ideal;;;;
11080;SI1;H;5;7;01.2;61.9;57;4924;06.4;6.46;3.98;4;Ideal;;;;
11081;VS2;F;3;6;0.93;62.7;58;4925;6.21;6.27;3.91;2;Very Good;;;;
11082;VS2;E;2;6;0.9;60.4;59;4925;6.26;06.3;3.79;2;Very Good;;;;
